rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1,The Family Man,2019– ,8.8,"Action, Comedy, Drama","Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Title: The Family Man Year: 2019–  Genre: Action, Comedy, Drama Cast: Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi. Story: A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
2,Lucifer,2016– ,8.1,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Title: Lucifer Year: 2016–  Genre: Crime, Drama, Fantasy Cast: Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro. Story: Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels."
3,The Handmaid's Tale,2017– ,8.4,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Title: The Handmaid's Tale Year: 2017–  Genre: Drama, Sci-Fi, Thriller Cast: Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd. Story: Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
4,StartUp,2016–2018,8.0,"Crime, Thriller","Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza","A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","Title: StartUp Year: 2016–2018 Genre: Crime, Thriller Cast: Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza. Story: A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0."
5,Game of Thrones,2011–2019,9.3,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Title: Game of Thrones Year: 2011–2019 Genre: Action, Adventure, Drama Cast: Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey. Story: Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
6,The Kominsky Method,2018–2021,8.2,"Comedy, Drama","Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang","An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Title: The Kominsky Method Year: 2018–2021 Genre: Comedy, Drama Cast: Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang. Story: An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach."
7,Grey's Anatomy,2005– ,7.5,"Drama, Romance","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Title: Grey's Anatomy Year: 2005–  Genre: Drama, Romance Cast: Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers. Story: A drama centered on the personal and professional lives of five surgical interns and their supervisors."
8,The Blacklist,2013– ,8.0,"Crime, Drama, Mystery","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Title: The Blacklist Year: 2013–  Genre: Crime, Drama, Mystery Cast: James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold. Story: A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
9,Dirty John,2018– ,7.2,"Crime, Drama","Connie Britton, Christian Slater, Eric Bana, Amanda Peet",Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,"Title: Dirty John Year: 2018–  Genre: Crime, Drama Cast: Connie Britton, Christian Slater, Eric Bana, Amanda Peet. Story: Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong."
10,The Walking Dead,2010–2022,8.2,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Title: The Walking Dead Year: 2010–2022 Genre: Drama, Horror, Thriller Cast: Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan. Story: Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive."
